8_02,VILLETTE,CHARLOTTE BRONTE,FICTION ADULT - ENGLISH
8_03,PICWICK PAPERS,CHARLES DICKENS,FICTION ADULT - ENGLISH
8_04,WUTHERING HEIGHTS,EMILY BRONTE,FICTION ADULT - ENGLISH
8_05,GREAT SHORT WORKS OF FYODOR DOSTOEVSKY,FYODOR DOSTOEVSKY,FICTION ADULT - ENGLISH
8_06,"LADY SUSAN, THE WATSONS, AND SANDITON",JANE AUSTEN,FICTION ADULT - ENGLISH
8_07,LOVE AND FRIENDSHIP,JANE AUSTEN,FICTION ADULT - ENGLISH
8_09,RESURRECTION,LEO TOLSTOY,FICTION ADULT - ENGLISH
8_11,POIROT�S LAST CASE,AGATHA CHRISTIE,FICTION ADULT - ENGLISH
8_12,BY THE PRICKING OF MY THUMBS,AGATHA CHRISTIE,FICTION ADULT - ENGLISH
8_13,CARDS ON THE TABLE,AGATHA CHRISTIE,FICTION ADULT - ENGLISH
8_174,PERRY MASON: THE CASE OF THE ONE-EYED WITNESS,ERLE STANLEY GARDNER,FICTION ADULT - ENGLISH
8_14,DETECTION UNLIMITED,GEORGETTE HEYER,FICTION ADULT - ENGLISH
8_15,PLUM SPOOKY,JANET EVANOVICH,FICTION ADULT - ENGLISH
8_16,CAUSE OF DEATH,PATRICIA CORNWELL,FICTION ADULT - ENGLISH
8_162,POST MORTEM,PATRICIA CORNWELL,FICTION ADULT - ENGLISH
8_17,I IS FOR INNOCENT,SUE GRAFTON,FICTION ADULT - ENGLISH
8_18,THE MAN ON THE BALCONY,SJOWALL AND WAHLOO,FICTION ADULT - ENGLISH
8_19,NEEDFUL THINGS,STEPHEN KING,FICTION ADULT - ENGLISH
8_20,FOUR PAST MIDNIGHT,STEPHEN KING,FICTION ADULT - ENGLISH
8_21,EVERYTHING�S EVENTUAL,STEPHEN KING,FICTION ADULT - ENGLISH
8_22,IT,STEPHEN KING,FICTION ADULT - ENGLISH
8_133,CATCH 22,JOSEPH HELLER,FICTION ADULT - ENGLISH
8_161,BIG BOOK OF MALICE,KHUSHWANT SINGH,FICTION ADULT - ENGLISH
8_23,JOY IN THE MORNING,P G WODEHOUSE,FICTION ADULT - ENGLISH
